Profile: <cProfile.Profile object at 0x000001D079380980>
         233895 function calls (224082 primitive calls) in 17.917 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1771    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
  446/206    0.002    0.000    0.002    0.000 cookiejar.py:1227(deepvalues)
     1105    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
      462    0.002    0.000    0.002    0.000 _urlparse.py:206(<genexpr>)
       33    0.002    0.000    0.005    0.000 _models.py:79(<listcomp>)
       71    0.002    0.000    0.008    0.000 _connection.py:260(_process_event)
       22    0.002    0.000    0.004    0.000 _models.py:81(<listcomp>)
       22    0.002    0.000    0.008    0.000 _urlparse.py:151(urlparse)
      785    0.002    0.000    0.003    0.000 <frozen os>:748(encodekey)
      127    0.002    0.000    0.003    0.000 parse.py:374(urlparse)
       77    0.002    0.000    0.002    0.000 _headers.py:205(get_comma_header)
     1100    0.002    0.000    0.002    0.000 _model_construction.py:248(__instancecheck__)
      253    0.001    0.000    0.005    0.000 __init__.py:272(_compile)
      872    0.001    0.000    0.095    0.000 {method 'read' of '_io.BufferedReader' objects}
      496    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      439    0.001    0.000    0.019    0.000 response.py:456(_decode)
        6    0.001    0.000    0.001    0.000 {built-in method nt.stat}
        1    0.001    0.001    0.001    0.001 {built-in method _winapi.WaitForSingleObject}
       11    0.001    0.000    0.005    0.000 main.py:200(model_construct)
        1    0.001    0.001    0.695    0.695 _transcripts.py:44(fetch)
       38    0.001    0.000   14.089    0.371 http11.py:216(_receive_event)
      216    0.001    0.000    0.002    0.000 contextlib.py:141(__exit__)
      192    0.001    0.000    2.759    0.014 ssl.py:1300(recv_into)
     2790    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      875    0.001    0.000    0.002    0.000 typing.py:159(_type_convert)
      192    0.001    0.000    2.761    0.014 socket.py:692(readinto)
       32    0.001    0.000    0.003    0.000 _models.py:129(<dictcomp>)
        3    0.001    0.000    0.001    0.000 {function socket.close at 0x000001D07654F380}
       71    0.001    0.000    0.001    0.000 _state.py:318(_fire_state_triggered_transitions)
     1264    0.001    0.000    0.001    0.000 typing.py:1695(<genexpr>)
        1    0.001    0.001    0.004    0.004 _transcripts.py:352(<listcomp>)
    88/44    0.001    0.000    0.003    0.000 copy.py:128(deepcopy)
  457/446    0.001    0.000    0.003    0.000 {built-in method builtins.next}
       45    0.001    0.000    0.001    0.000 threading.py:90(RLock)
      682    0.001    0.000    0.011    0.000 _transform.py:126(_maybe_transform_key)
       11    0.001    0.000   14.104    1.282 http11.py:72(handle_request)
       21    0.001    0.000    0.019    0.001 _models.py:1181(__init__)
      219    0.001    0.000   16.819    0.077 ssl.py:1158(read)
       34    0.001    0.000    0.001    0.000 message.py:524(get_all)
1377/1370    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
       21    0.001    0.000    0.001    0.000 {built-in method select.select}
       22    0.001    0.000    0.008    0.000 _models.py:1202(info)
       33    0.001    0.000    0.002    0.000 _receivebuffer.py:104(maybe_extract_lines)
      785    0.001    0.000    0.001    0.000 <frozen os>:742(check_str)
      264    0.001    0.000    0.003    0.000 typing.py:111(get_origin)
     1101    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
