Profile: <cProfile.Profile object at 0x0000027907471630>
         36274 function calls (36090 primitive calls) in 4.358 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      125    0.000    0.000    0.189    0.002 events.py:78(_run)
       23    0.000    0.000    0.002    0.000 <frozen _collections_abc>:941(update)
        1    0.000    0.000    0.000    0.000 {built-in method nt.cpu_count}
        9    0.000    0.000    0.000    0.000 {built-in method winreg.QueryValueEx}
      109    0.000    0.000    0.001    0.000 enum.py:1091(__new__)
       12    0.000    0.000    0.001    0.000 message.py:524(get_all)
       55    0.000    0.000    0.001    0.000 _policybase.py:293(header_source_parse)
        1    0.000    0.000    0.000    0.000 client.py:254(__init__)
       23    0.000    0.000    0.001    0.000 base_events.py:429(create_task)
       12    0.000    0.000    0.000    0.000 {method 'setsockopt' of '_socket.socket' objects}
        3    0.000    0.000    0.001    0.000 http_writer.py:121(write_headers)
      127    0.000    0.000    0.001    0.000 base_events.py:751(call_soon)
       24    0.000    0.000    0.001    0.000 message.py:489(get)
       32    0.000    0.000    0.000    0.000 windows_events.py:54(__init__)
        2    0.000    0.000    0.129    0.064 ssl.py:577(_load_windows_store_certs)
      194    0.000    0.000    0.001    0.000 __init__.py:178(sub)
        6    0.000    0.000    0.000    0.000 {built-in method winreg.OpenKey}
       21    0.000    0.000    0.001    0.000 client.py:1242(putheader)
      191    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
  247/238    0.000    0.000    0.001    0.000 {method 'encode' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {built-in method _overlapped.BindLocal}
      104    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       36    0.000    0.000    0.001    0.000 queue.py:154(get)
        8    0.000    0.000    0.000    0.000 cookiejar.py:1389(_normalized_cookie_tuples)
       33    0.000    0.000    0.001    0.000 queue.py:122(put)
       69    0.000    0.000    0.000    0.000 parse.py:205(_hostinfo)
        9    0.000    0.000    0.001    0.000 windows_events.py:481(recv_into)
       88    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
        3    0.000    0.000    0.000    0.000 client.py:206(_read_headers)
        3    0.000    0.000    0.001    0.000 proactor_events.py:185(__init__)
       75    0.000    0.000    0.001    0.000 <frozen _collections_abc>:771(get)
       64    0.000    0.000    0.000    0.000 _collections.py:259(__getitem__)
      588    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
        3    0.000    0.000    0.001    0.000 cookies.py:539(__parse_string)
       48    0.000    0.000    0.001    0.000 parse.py:164(hostname)
        3    0.000    0.000    3.388    1.129 sessions.py:673(send)
      111    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
      801    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    2.886    2.886 async_summary.py:34(async_summarize)
        3    0.000    0.000    0.003    0.001 connection.py:324(request)
       55    0.000    0.000    0.000    0.000 _collections.py:302(add)
      414    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
       16    0.000    0.000    0.000    0.000 threading.py:90(RLock)
        9    0.000    0.000    0.027    0.003 proactor_events.py:276(_loop_reading)
        1    0.000    0.000    0.005    0.005 _transcripts.py:51(_extract_captions_json)
       15    0.000    0.000    0.003    0.000 windows_events.py:562(send)
       10    0.000    0.000    0.002    0.000 cookiejar.py:949(set_ok)
      109    0.000    0.000    0.001    0.000 enum.py:686(__call__)
        3    0.000    0.000    2.236    0.745 connection.py:440(getresponse)
       81    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
     1086    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       10    0.000    0.000    0.001    0.000 cookiejar.py:1486(_cookie_from_cookie_tuple)
        3    0.000    0.000    0.001    0.000 _collections.py:337(extend)
       15    0.000    0.000    0.136    0.009 connector.py:507(connect)
       64    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
      161    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        8    0.000    0.000    0.000    0.000 cookiejar.py:150(_str2time)
       64    0.000    0.000    0.000    0.000 _weakrefset.py:75(__contains__)
      191    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      144    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
      109    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
        6    0.000    0.000    0.003    0.001 cookiejar.py:1599(make_cookies)
       43    0.000    0.000    0.726    0.017 windows_events.py:442(select)
       24    0.000    0.000    0.004    0.000 proactor_events.py:375(_loop_writing)
        3    0.000    0.000    3.403    1.134 sessions.py:500(request)
        1    0.000    0.000    1.469    1.469 _api.py:114(get_transcript)
        3    0.000    0.000    0.193    0.064 ssl.py:1018(_create)
        3    0.000    0.000    0.000    0.000 cookiejar.py:333(_parse_date)
      215    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      194    0.000    0.000    0.000    0.000 socket.py:731(readable)
        4    0.000    0.000    0.000    0.000 encoder.py:205(iterencode)
        3    0.000    0.000    0.001    0.000 client_reqrep.py:261(__init__)
       15    0.000    0.000    0.003    0.000 proactor_events.py:337(write)
        3    0.000    0.000    0.917    0.306 base_events.py:593(run_forever)
        3    0.000    0.000    2.726    0.909 adapters.py:613(send)
      395    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       13    0.000    0.000    0.000    0.000 threading.py:236(__init__)
        3    0.000    0.000    2.718    0.906 connectionpool.py:598(urlopen)
       21    0.000    0.000    0.003    0.000 sslproto.py:711(_process_outgoing)
        2    0.000    0.000    0.000    0.000 _parser.py:509(_parse)
        3    0.000    0.000    0.476    0.159 connection.py:614(connect)
