Profile: <cProfile.Profile object at 0x000001BA0CDE07C0>
         73185 function calls (70800 primitive calls) in 9.198 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      212    0.001    0.000    0.001    0.000 _weakrefset.py:75(__contains__)
        1    0.001    0.001    0.001    0.001 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
       78    0.001    0.000    0.001    0.000 structures.py:51(__getitem__)
      158    0.001    0.000    0.001    0.000 enum.py:1091(__new__)
   759/95    0.001    0.000    0.007    0.000 <frozen abc>:121(__subclasscheck__)
       76    0.001    0.000    0.010    0.000 typing.py:869(_evaluate)
       88    0.001    0.000    0.015    0.000 proactor_events.py:375(_loop_writing)
      188    0.001    0.000    5.181    0.028 ssl.py:1158(read)
      163    0.001    0.000    0.001    0.000 parse.py:205(_hostinfo)
      479    0.001    0.000    0.627    0.001 {method 'readline' of '_io.BufferedReader' objects}
      111    0.001    0.000    0.004    0.000 __init__.py:383(__getattr__)
        1    0.001    0.001    0.001    0.001 {built-in method sys.getwindowsversion}
       79    0.001    0.000    0.012    0.000 sslproto.py:711(_process_outgoing)
     1293    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      528    0.001    0.000    0.001    0.000 <frozen os>:742(check_str)
       11    0.001    0.000    0.001    0.000 cookiejar.py:333(_parse_date)
       35    0.001    0.000    0.119    0.003 proactor_events.py:276(_loop_reading)
       55    0.001    0.000    0.011    0.000 proactor_events.py:337(write)
        3    0.001    0.000    0.004    0.001 _generate_schema.py:1040(_common_field_schema)
      230    0.001    0.000    0.001    0.000 typing.py:1297(__setattr__)
        2    0.001    0.000    0.001    0.001 ssl.py:1368(_real_close)
      111    0.001    0.000    0.003    0.000 __init__.py:108(import_module)
       11    0.001    0.000    0.003    0.000 client_reqrep.py:671(send)
      504    0.001    0.000    0.001    0.000 <frozen os>:697(__iter__)
        3    0.001    0.000    0.002    0.001 cookiejar.py:466(parse_ns_headers)
      195    0.001    0.000    0.001    0.000 video.py:86(<genexpr>)
       22    0.001    0.000    0.007    0.000 client_reqrep.py:988(start)
       11    0.001    0.000    0.004    0.000 cookiejar.py:175(update_cookies)
      135    0.001    0.000    0.001    0.000 typing.py:2441(get_args)
       11    0.001    0.000    0.001    0.000 {method '_wrap_bio' of '_ssl._SSLContext' objects}
      142    0.001    0.000    0.002    0.000 socket.py:99(_intenum_converter)
        7    0.001    0.000    0.001    0.000 {built-in method winreg.QueryValueEx}
       35    0.001    0.000    0.011    0.000 sslproto.py:771(_do_read__copied)
        1    0.001    0.001    0.001    0.001 _transcripts.py:133(<listcomp>)
