Profile: <cProfile.Profile object at 0x000001D0792CD780>
         53760 function calls (53536 primitive calls) in 4.484 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.001    0.000    0.001    0.000 cookiejar.py:333(_parse_date)
       55    0.001    0.000    0.265    0.005 connector.py:507(connect)
       79    0.001    0.000    0.014    0.000 sslproto.py:711(_process_outgoing)
      111    0.001    0.000    0.001    0.000 {method 'extend' of 'bytearray' objects}
       35    0.001    0.000    0.003    0.000 windows_events.py:481(recv_into)
       11    0.001    0.000    0.001    0.000 {method '_wrap_bio' of '_ssl._SSLContext' objects}
       55    0.001    0.000    0.262    0.005 connector.py:1253(_create_direct_connection)
      170    0.001    0.000    0.003    0.000 {function _OverlappedFuture.set_result at 0x000001D078A25A80}
       35    0.001    0.000    0.011    0.000 sslproto.py:771(_do_read__copied)
       22    0.001    0.000    0.005    0.000 client_reqrep.py:988(start)
       26    0.001    0.000    0.001    0.000 {method 'setblocking' of '_socket.socket' objects}
       11    0.001    0.000    0.012    0.001 sslproto.py:565(_on_handshake_complete)
        3    0.001    0.000    2.771    0.924 adapters.py:613(send)
       66    0.001    0.000    0.298    0.005 async_summary.py:53(async_chunk_summary)
        4    0.001    0.000    0.002    0.000 cookiejar.py:466(parse_ns_headers)
      847    0.001    0.000    0.001    0.000 base_events.py:1940(get_debug)
      106    0.001    0.000    0.002    0.000 windows_events.py:747(_register_with_iocp)
       33    0.001    0.000    0.004    0.000 staggered.py:14(staggered_race)
       11    0.001    0.000    0.004    0.000 _url.py:166(__new__)
       55    0.001    0.000    0.012    0.000 proactor_events.py:337(write)
      297    0.001    0.000    0.001    0.000 _quoting_c.pyx:260(_write)
       12    0.001    0.000    0.001    0.000 encoder.py:205(iterencode)
      149    0.001    0.000    0.001    0.000 enum.py:686(__call__)
       44    0.001    0.000    0.022    0.000 connector.py:1036(_wrap_create_connection)
       78    0.001    0.000    0.601    0.008 windows_events.py:442(select)
       11    0.001    0.000    0.001    0.000 client_reqrep.py:454(update_auto_headers)
       14    0.001    0.000    0.001    0.000 {built-in method zlib.decompressobj}
        2    0.001    0.000    0.234    0.117 ssl.py:577(_load_windows_store_certs)
        9    0.001    0.000    0.001    0.000 {built-in method winreg.QueryValueEx}
      195    0.001    0.000    0.001    0.000 video.py:69(<genexpr>)
      149    0.001    0.000    0.001    0.000 enum.py:1091(__new__)
     1102    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
        1    0.001    0.001    0.001    0.001 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
  271/254    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {method 'getsockname' of '_socket.socket' objects}
        3    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
       11    0.000    0.000    0.007    0.001 windows_events.py:610(connect)
      100    0.000    0.000    0.001    0.000 base_events.py:425(create_future)
       45    0.000    0.000    0.001    0.000 base_events.py:733(call_at)
      134    0.000    0.000    0.001    0.000 socket.py:99(_intenum_converter)
       11    0.000    0.000    0.003    0.000 cookiejar.py:175(update_cookies)
       44    0.000    0.000    0.002    0.000 tasks.py:389(wait)
      194    0.000    0.000    0.002    0.000 __init__.py:178(sub)
      556    0.000    0.000    0.000    0.000 base_events.py:517(_check_closed)
       13    0.000    0.000    0.000    0.000 {built-in method _overlapped.CreateIoCompletionPort}
      850    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       88    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
        5    0.000    0.000    0.000    0.000 {method 'WSARecv' of '_overlapped.Overlapped' objects}
        3    0.000    0.000    0.001    0.000 feedparser.py:469(_parse_headers)
       35    0.000    0.000    0.017    0.000 sslproto.py:720(_do_read)
        6    0.000    0.000    0.000    0.000 {built-in method winreg.OpenKey}
       44    0.000    0.000    0.001    0.000 tasks.py:497(_wait)
      491    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
       11    0.000    0.000    0.002    0.000 http_writer.py:121(write_headers)
       23    0.000    0.000    0.002    0.000 <frozen _collections_abc>:941(update)
      112    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       33    0.000    0.000    0.005    0.000 impl.py:25(start_connection)
      552    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      217    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      829    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       11    0.000    0.000    0.002    0.000 tcp_helpers.py:24(tcp_nodelay)
      107    0.000    0.000    0.001    0.000 {method 'add_done_callback' of '_asyncio.Future' objects}
       11    0.000    0.000    0.001    0.000 client_reqrep.py:429(update_headers)
       21    0.000    0.000    0.001    0.000 client.py:1242(putheader)
       33    0.000    0.000    0.001    0.000 queue.py:122(put)
     1052    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       75    0.000    0.000    0.001    0.000 <frozen _collections_abc>:771(get)
