Profile: <cProfile.Profile object at 0x000001BA0CDE2270>
         242367 function calls (233358 primitive calls) in 25.235 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      518    0.002    0.000    0.004    0.000 <frozen os>:674(__getitem__)
     1485    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
2979/2915    0.002    0.000    0.002    0.000 {built-in method builtins.len}
      551    0.002    0.000    0.007    0.000 <frozen _collections_abc>:859(__iter__)
       39    0.002    0.000    0.004    0.000 _models.py:129(<dictcomp>)
      228    0.002    0.000    0.002    0.000 contextlib.py:104(__init__)
       26    0.002    0.000    0.007    0.000 _urlparse.py:151(urlparse)
       45    0.001    0.000   22.772    0.506 http11.py:216(_receive_event)
      779    0.001    0.000    0.104    0.000 {method 'read' of '_io.BufferedReader' objects}
      770    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
      505    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
        1    0.001    0.001    0.001    0.001 {built-in method io.open}
      912    0.001    0.000    0.002    0.000 typing.py:159(_type_convert)
      182    0.001    0.000    0.607    0.003 ssl.py:1300(recv_into)
      182    0.001    0.000    0.610    0.003 socket.py:692(readinto)
        4    0.001    0.000    0.008    0.002 request.py:2499(getproxies_environment)
       48    0.001    0.000    0.001    0.000 threading.py:90(RLock)
      228    0.001    0.000    0.002    0.000 contextlib.py:141(__exit__)
       26    0.001    0.000    0.018    0.001 _models.py:1181(__init__)
     2498    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
1515/1511    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
      393    0.001    0.000    0.019    0.000 response.py:456(_decode)
     1344    0.001    0.000    0.001    0.000 typing.py:1695(<genexpr>)
       26    0.001    0.000    0.009    0.000 _models.py:1202(info)
       26    0.001    0.000    0.001    0.000 {built-in method select.select}
       38    0.001    0.000    0.002    0.000 _receivebuffer.py:104(maybe_extract_lines)
      744    0.001    0.000    0.012    0.000 _transform.py:126(_maybe_transform_key)
       13    0.001    0.000   22.792    1.753 http11.py:72(handle_request)
      770    0.001    0.000    0.003    0.000 <frozen abc>:121(__subclasscheck__)
      213    0.001    0.000   23.351    0.110 ssl.py:1158(read)
        1    0.001    0.001    0.845    0.845 _transcripts.py:44(fetch)
      290    0.001    0.000    0.004    0.000 _readers.py:64(_decode_header_lines)
      504    0.001    0.000    0.001    0.000 <frozen os>:697(__iter__)
      518    0.001    0.000    0.002    0.000 <frozen os>:748(encodekey)
        1    0.001    0.001    0.828    0.828 _transcripts.py:90(_fetch_html)
       30    0.001    0.000    0.004    0.000 cookiejar.py:1096(return_ok)
     1188    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
  484/471    0.001    0.000    0.002    0.000 {built-in method builtins.next}
       76    0.001    0.000    0.020    0.000 _connection.py:426(next_event)
    96/48    0.001    0.000    0.003    0.000 copy.py:128(deepcopy)
       34    0.001    0.000    0.001    0.000 message.py:524(get_all)
        2    0.001    0.001    0.001    0.001 {function socket.close at 0x000001BA09E13740}
        1    0.001    0.001    0.001    0.001 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
  240/216    0.001    0.000    0.002    0.000 typing.py:1669(__hash__)
      546    0.001    0.000    0.001    0.000 _urlparse.py:206(<genexpr>)
       12    0.001    0.000    0.004    0.000 main.py:200(model_construct)
      104    0.001    0.000    0.001    0.000 _models.py:126(<listcomp>)
      169    0.001    0.000    0.002    0.000 _models.py:272(__contains__)
       26    0.001    0.000    0.006    0.000 request.py:319(__init__)
       65    0.001    0.000    0.001    0.000 _trace.py:10(__init__)
       13    0.001    0.000    0.001    0.000 decoder.py:343(raw_decode)
    13/12    0.001    0.000   23.865    1.989 _base_client.py:929(_request)
    60/48    0.001    0.000    0.003    0.000 _readers.py:157(__call__)
       13    0.001    0.000   22.831    1.756 _client.py:1001(_send_single_request)
      288    0.001    0.000    0.004    0.000 typing.py:111(get_origin)
       13    0.001    0.000    0.024    0.002 _models.py:309(__init__)
      228    0.001    0.000    0.003    0.000 contextlib.py:287(helper)
      108    0.001    0.000    0.001    0.000 inspect.py:1794(_shadowed_dict)
       13    0.001    0.000   22.808    1.754 default.py:214(handle_request)
     1818    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
       26    0.001    0.000    0.010    0.000 _readers.py:94(maybe_read_from_SEND_RESPONSE_server)
      144    0.001    0.000    0.100    0.001 typing_extensions.py:1197(get_type_hints)
       84    0.001    0.000    0.002    0.000 typing.py:144(_generic_get_args)
      816    0.001    0.000    0.001    0.000 {method 'groupdict' of 're.Match' objects}
      195    0.001    0.000    0.001    0.000 video.py:86(<genexpr>)
        2    0.001    0.000    0.002    0.001 ssl.py:1368(_real_close)
      144    0.001    0.000    0.001    0.000 typing.py:485(__getitem__)
       13    0.001    0.000    0.049    0.004 _base_client.py:441(_build_request)
      616    0.001    0.000    0.001    0.000 _utils.py:47(normalize_header_value)
        4    0.001    0.000    0.001    0.000 {built-in method nt.stat}
      429    0.001    0.000    0.508    0.001 {method 'readline' of '_io.BufferedReader' objects}
       84    0.001    0.000    0.001    0.000 _state.py:318(_fire_state_triggered_transitions)
