Profile: <cProfile.Profile object at 0x000001F095772890>
         245586 function calls (235919 primitive calls) in 19.962 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1204    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
      258    0.002    0.000    0.004    0.000 __init__.py:272(_compile)
     1200    0.001    0.000    0.002    0.000 _model_construction.py:248(__instancecheck__)
      526    0.001    0.000    0.003    0.000 <frozen os>:674(__getitem__)
 1009/770    0.001    0.000    0.005    0.000 <frozen abc>:121(__subclasscheck__)
        1    0.001    0.001    0.004    0.004 _transcripts.py:352(<listcomp>)
      185    0.001    0.000    0.645    0.003 ssl.py:1300(recv_into)
      242    0.001    0.000    0.002    0.000 contextlib.py:104(__init__)
        1    0.001    0.001    0.001    0.001 {built-in method _winapi.WaitForSingleObject}
      551    0.001    0.000    0.005    0.000 <frozen _collections_abc>:859(__iter__)
        1    0.001    0.001    0.718    0.718 _transcripts.py:81(_fetch_video_html)
       45    0.001    0.000   18.415    0.409 http11.py:216(_receive_event)
      116    0.001    0.000    0.002    0.000 parse.py:374(urlparse)
       35    0.001    0.000    0.003    0.000 _models.py:129(<dictcomp>)
      954    0.001    0.000    0.002    0.000 typing.py:159(_type_convert)
     1376    0.001    0.000    0.001    0.000 typing.py:1695(<genexpr>)
  510/498    0.001    0.000    0.003    0.000 {built-in method builtins.next}
      484    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      242    0.001    0.000    0.002    0.000 contextlib.py:141(__exit__)
       84    0.001    0.000    0.001    0.000 _headers.py:205(get_comma_header)
        2    0.001    0.001    0.001    0.001 {built-in method io.open}
      403    0.001    0.000    0.019    0.000 response.py:456(_decode)
        1    0.001    0.001    0.728    0.728 _transcripts.py:44(fetch)
      800    0.001    0.000    0.091    0.000 {method 'read' of '_io.BufferedReader' objects}
        4    0.001    0.000    0.006    0.002 request.py:2499(getproxies_environment)
       12    0.001    0.000   18.434    1.536 http11.py:72(handle_request)
      765    0.001    0.000    0.001    0.000 {method 'groupdict' of 're.Match' objects}
      185    0.001    0.000    0.647    0.003 socket.py:692(readinto)
       23    0.001    0.000    0.001    0.000 {built-in method select.select}
      744    0.001    0.000    0.011    0.000 _transform.py:126(_maybe_transform_key)
      504    0.001    0.000    0.001    0.000 _urlparse.py:206(<genexpr>)
       36    0.001    0.000    0.002    0.000 _receivebuffer.py:104(maybe_extract_lines)
1406/1401    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
       23    0.001    0.000    0.018    0.001 _models.py:1181(__init__)
      218    0.001    0.000   19.033    0.087 ssl.py:1158(read)
       78    0.001    0.000    0.019    0.000 _connection.py:426(next_event)
       24    0.001    0.000    0.008    0.000 _models.py:1202(info)
    66/54    0.001    0.000    0.003    0.000 _readers.py:157(__call__)
      278    0.001    0.000    0.004    0.000 _readers.py:64(_decode_header_lines)
       42    0.001    0.000    0.001    0.000 threading.py:90(RLock)
      526    0.001    0.000    0.002    0.000 <frozen os>:748(encodekey)
        1    0.001    0.001    0.001    0.001 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
       12    0.001    0.000    0.005    0.000 main.py:200(model_construct)
      288    0.001    0.000    0.003    0.000 typing.py:111(get_origin)
       96    0.001    0.000    0.001    0.000 _models.py:126(<listcomp>)
      242    0.001    0.000    0.003    0.000 contextlib.py:287(helper)
  245/221    0.001    0.000    0.002    0.000 typing.py:1669(__hash__)
     1200    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
       23    0.001    0.000    0.007    0.000 request.py:319(__init__)
       12    0.001    0.000   18.715    1.560 _base_client.py:929(_request)
      108    0.001    0.000    0.001    0.000 inspect.py:1794(_shadowed_dict)
       13    0.001    0.000    0.001    0.000 decoder.py:343(raw_decode)
        2    0.001    0.000    0.001    0.000 {function socket.close at 0x000001F092E6B600}
      156    0.001    0.000    0.002    0.000 _models.py:272(__contains__)
       12    0.001    0.000   18.554    1.546 default.py:214(handle_request)
        1    0.001    0.001    0.001    0.001 {built-in method sys.getwindowsversion}
     1896    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
       12    0.001    0.000   18.577    1.548 _client.py:1001(_send_single_request)
       12    0.001    0.000    0.073    0.006 _base_client.py:441(_build_request)
       32    0.001    0.000    0.001    0.000 message.py:524(get_all)
       12    0.001    0.000    0.021    0.002 _models.py:309(__init__)
       62    0.001    0.000    0.001    0.000 _trace.py:10(__init__)
       33    0.001    0.000   18.393    0.557 sync.py:122(read)
       93    0.001    0.000    0.003    0.000 _connection.py:330(_respond_to_state_changes)
      577    0.001    0.000    0.001    0.000 _utils.py:47(normalize_header_value)
        1    0.001    0.001    0.716    0.716 _transcripts.py:90(_fetch_html)
       81    0.001    0.000    0.001    0.000 _state.py:318(_fire_state_triggered_transitions)
      144    0.001    0.000    0.002    0.000 typing.py:485(__getitem__)
       24    0.001    0.000    0.009    0.000 _readers.py:94(maybe_read_from_SEND_RESPONSE_server)
       78    0.001    0.000    0.013    0.000 _connection.py:398(_extract_next_receive_event)
      144    0.001    0.000    0.099    0.001 typing_extensions.py:1197(get_type_hints)
       23    0.001    0.000    0.004    0.000 request.py:374(_parse)
       12    0.001    0.000    0.007    0.001 _events.py:82(__init__)
       84    0.001    0.000    0.001    0.000 typing.py:144(_generic_get_args)
      440    0.001    0.000    0.559    0.001 {method 'readline' of '_io.BufferedReader' objects}
       36    0.001    0.000    0.010    0.000 sync.py:128(write)
       12    0.001    0.000   18.547    1.546 connection_pool.py:159(handle_request)
     1443    0.001    0.000    0.001    0.000 {method 'lower' of 'bytes' objects}
        4    0.001    0.000    0.001    0.000 {built-in method nt.stat}
      146    0.001    0.000    0.001    0.000 _model_construction.py:229(__getattr__)
       12    0.001    0.000    0.001    0.000 _writers.py:22(write_headers)
      526    0.001    0.000    0.001    0.000 <frozen os>:742(check_str)
       24    0.001    0.000    0.004    0.000 connection_pool.py:230(_assign_requests_to_connections)
      278    0.001    0.000    0.001    0.000 _readers.py:43(_obsolete_line_fold)
